CL_ID TRAIN_DS_SIZE ACC PREC RCL F1 ROC 
0 3102 0.9069 0.8881 0.7933 0.8380 0.8749 
1 3001 0.9579 0.9072 0.9778 0.9412 0.9626 
2 3067 0.9478 0.8756 0.9941 0.9311 0.9582 
3 2975 0.9567 0.9096 0.9618 0.9350 0.9580 
4 2928 0.4491 0.0928 0.0484 0.0636 0.3750 
5 3030 0.9426 0.8564 0.9936 0.9199 0.9554 
6 2933 0.8978 0.8797 0.7697 0.8211 0.8618 
7 2950 0.9421 0.8684 0.9593 0.9116 0.9468 
8 3080 0.9722 0.9403 0.9895 0.9643 0.9755 
9 2915 0.6113 0.5000 0.0052 0.0103 0.5009 
10 2944 0.9347 0.8579 0.9769 0.9135 0.9443 
11 2965 0.9404 0.8756 0.9657 0.9185 0.9463 
12 3124 0.9522 0.8861 0.9944 0.9372 0.9615 
13 3054 0.9716 0.9350 0.9947 0.9639 0.9760 
14 2955 0.9489 0.9080 0.9349 0.9213 0.9452 
15 3015 0.9549 0.9154 0.9634 0.9388 0.9567 
16 2936 0.9374 0.8508 0.9747 0.9086 0.9473 
17 3009 0.9715 0.9372 0.9890 0.9624 0.9752 
18 3025 0.9780 0.9529 0.9818 0.9672 0.9789 
19 2992 0.9361 0.8324 0.9933 0.9058 0.9519 
