CL_ID TRAIN_DS_SIZE ACC PREC RCL F1 ROC 
0 1511 0.6329 0.6000 0.9449 0.7339 0.6088 
1 1557 0.5534 0.5142 0.9514 0.6676 0.5750 
2 1573 0.5936 0.5634 0.9375 0.7038 0.5829 
3 1423 0.6053 0.5792 0.9351 0.7153 0.5839 
4 1463 0.5838 0.5497 0.9524 0.6971 0.5817 
5 1478 0.5899 0.5612 0.9492 0.7054 0.5771 
6 1506 0.5922 0.5531 0.9256 0.6924 0.5949 
7 1513 0.6105 0.5755 0.9677 0.7218 0.5940 
8 1472 0.6136 0.5770 0.9440 0.7162 0.6023 
9 1533 0.5870 0.5429 0.9512 0.6913 0.5968 
10 1502 0.6087 0.5741 0.9466 0.7147 0.5962 
11 1488 0.5823 0.5530 0.9639 0.7028 0.5726 
12 1539 0.6070 0.5724 0.9511 0.7147 0.5945 
13 1507 0.5774 0.5501 0.9286 0.6909 0.5713 
14 1495 0.6286 0.5844 0.9637 0.7275 0.6186 
15 1580 0.6191 0.5822 0.9650 0.7262 0.6021 
16 1519 0.5880 0.5572 0.9309 0.6971 0.5815 
17 1530 0.6115 0.5689 0.9446 0.7101 0.6090 
18 1515 0.6091 0.5691 0.9492 0.7116 0.6036 
19 1431 0.5781 0.5432 0.9409 0.6888 0.5809 
20 1486 0.5928 0.5646 0.9555 0.7098 0.5769 
21 1492 0.5879 0.5542 0.9167 0.6907 0.5865 
22 1468 0.5225 0.5222 0.9671 0.6782 0.5036 
23 1499 0.5935 0.5575 0.9316 0.6976 0.5914 
24 1543 0.5853 0.5558 0.9278 0.6952 0.5785 
25 1493 0.5863 0.5523 0.9429 0.6966 0.5837 
26 1442 0.5688 0.5201 0.9565 0.6738 0.5938 
27 1446 0.5830 0.5499 0.9331 0.6920 0.5816 
28 1514 0.5413 0.5249 0.9620 0.6792 0.5372 
29 1461 0.5849 0.5418 0.9339 0.6857 0.5951 
30 1488 0.5992 0.5603 0.9292 0.6991 0.5985 
31 1411 0.5913 0.5534 0.9628 0.7029 0.5897 
32 1482 0.4780 0.4773 0.9665 0.6390 0.4986 
33 1466 0.5782 0.5478 0.9403 0.6923 0.5747 
34 1511 0.6000 0.5592 0.9440 0.7024 0.6000 
35 1504 0.5779 0.5376 0.9309 0.6815 0.5881 
36 1533 0.5826 0.5442 0.9540 0.6930 0.5872 
37 1534 0.5697 0.5333 0.9295 0.6778 0.5789 
38 1451 0.5942 0.5576 0.9427 0.7007 0.5915 
39 1476 0.5630 0.5432 0.9715 0.6968 0.5488 
