CL_ID TRAIN_DS_SIZE ACC PREC RCL F1 ROC 
0 3068 0.9473 0.9321 0.9724 0.9518 0.9453 
1 3043 0.9218 0.8652 0.9879 0.9225 0.9253 
2 3083 0.9195 0.8673 0.9961 0.9273 0.9171 
3 2860 0.5121 1.0000 0.0802 0.1484 0.5401 
4 2918 0.5064 0.6190 0.0476 0.0884 0.5090 
5 2998 0.9374 0.9091 0.9766 0.9416 0.9360 
6 3067 0.8893 0.8219 0.9917 0.8989 0.8902 
7 3027 0.9158 0.8636 0.9960 0.9251 0.9121 
8 3021 0.9132 0.8881 0.9520 0.9189 0.9119 
9 2970 0.9427 0.8974 0.9959 0.9441 0.9441 
10 3031 0.9486 0.9275 0.9771 0.9517 0.9476 
11 2975 0.9506 0.9310 0.9759 0.9529 0.9500 
12 3003 0.8658 1.0000 0.7406 0.8510 0.8703 
13 2994 0.8050 0.7384 0.9549 0.8328 0.8023 
14 2987 0.9585 0.9351 0.9879 0.9608 0.9576 
15 3039 0.9633 0.9579 0.9728 0.9653 0.9629 
16 3091 0.9110 0.8664 0.9756 0.9178 0.9097 
17 3088 0.9442 0.9085 0.9889 0.9470 0.9439 
18 3069 0.9623 0.9309 1.0000 0.9642 0.9617 
19 2961 0.7988 0.7227 0.9646 0.8263 0.8001 
20 2934 0.6477 0.6042 0.9393 0.7353 0.6348 
21 2951 0.6276 0.5820 0.9167 0.7120 0.6264 
22 2978 0.7452 0.6834 0.9506 0.7952 0.7365 
23 3058 0.9204 0.8893 0.9615 0.9240 0.9202 
24 3062 0.8740 0.8153 0.9734 0.8873 0.8721 
25 2973 0.9568 0.9295 0.9893 0.9585 0.9566 
26 2937 0.6761 0.5967 0.9391 0.7297 0.6931 
27 2936 0.3933 0.2088 0.0748 0.1101 0.3945 
28 3021 0.9443 0.9034 0.9962 0.9476 0.9438 
29 2967 0.9264 0.9037 0.9494 0.9260 0.9271 
30 2994 0.7578 0.6845 0.9583 0.7986 0.7574 
31 2955 0.7407 0.6706 0.9504 0.7863 0.7398 
32 2976 0.8720 0.7907 0.9958 0.8815 0.8772 
33 2954 0.7627 0.6994 0.9291 0.7981 0.7611 
34 3035 0.9540 0.9349 0.9760 0.9550 0.9540 
35 3041 0.9428 0.9289 0.9553 0.9419 0.9432 
36 3014 0.9607 0.9400 0.9833 0.9611 0.9610 
37 3048 0.9374 0.8977 0.9834 0.9386 0.9386 
38 2935 0.4115 0.3000 0.1260 0.1774 0.4138 
39 2938 0.8277 0.8942 0.7561 0.8194 0.8302 
