CL_ID TRAIN_DS_SIZE ACC PREC RCL F1 ROC 
0 1535 0.4818 0.4794 0.7750 0.5924 0.4899 
1 1506 0.5029 0.5151 0.7537 0.6119 0.4924 
2 1590 0.5177 0.5091 0.8235 0.6292 0.5196 
3 1549 0.5299 0.5228 0.7959 0.6311 0.5271 
4 1537 0.6091 0.5827 0.9051 0.7090 0.5929 
5 1450 0.5128 0.4973 0.7974 0.6125 0.5221 
6 1472 0.4890 0.4938 0.9518 0.6502 0.4899 
7 1490 0.5045 0.5049 0.9176 0.6514 0.5008 
8 1536 0.5268 0.5258 0.8263 0.6426 0.5176 
9 1487 0.5648 0.5635 0.8377 0.6737 0.5433 
10 1469 0.4980 0.4871 0.8851 0.6284 0.5131 
11 1489 0.5447 0.5246 0.8960 0.6617 0.5468 
12 1603 0.5558 0.5612 0.8540 0.6773 0.5257 
13 1529 0.5639 0.5762 0.8139 0.6747 0.5325 
14 1481 0.5189 0.5341 0.7766 0.6329 0.5001 
15 1511 0.4868 0.4910 0.8264 0.6160 0.4881 
16 1488 0.5273 0.5496 0.7565 0.6366 0.5032 
17 1527 0.5142 0.4948 0.8128 0.6151 0.5270 
18 1531 0.5591 0.5522 0.8314 0.6636 0.5460 
19 1545 0.4948 0.4726 0.8080 0.5964 0.5170 
