CL_ID TRAIN_DS_SIZE ACC PREC RCL F1 ROC 
0 3102 0.9555 0.9160 1.0000 0.9562 0.9567 
1 3001 0.5449 0.5552 0.6287 0.5897 0.5414 
2 3067 0.9269 0.8718 1.0000 0.9315 0.9274 
3 2975 0.6144 0.5711 0.9510 0.7136 0.6109 
4 2928 0.5842 0.5588 0.9960 0.7159 0.5616 
5 3030 0.8830 0.8050 1.0000 0.8919 0.8868 
6 2933 0.3186 0.0973 0.0442 0.0608 0.3181 
7 2950 0.2948 0.1829 0.1147 0.1410 0.2964 
8 3080 0.9602 0.9345 0.9923 0.9625 0.9593 
9 2915 0.3684 0.2577 0.0943 0.1381 0.3900 
10 2944 0.4429 0.4358 0.5489 0.4859 0.4470 
11 2965 0.3877 0.1778 0.0640 0.0941 0.3858 
12 3124 0.9582 0.9288 1.0000 0.9631 0.9539 
13 3054 0.9148 0.8671 1.0000 0.9288 0.9041 
14 2955 0.6269 0.5959 0.9362 0.7283 0.6043 
15 3015 0.3816 0.2867 0.1623 0.2072 0.3808 
16 2936 0.3838 0.2500 0.0627 0.1003 0.4175 
17 3009 0.5102 0.4937 1.0000 0.6610 0.5311 
18 3025 0.5230 0.5230 1.0000 0.6868 0.5000 
19 2992 0.4392 0.4403 0.7902 0.5655 0.4641 
