CL_ID TRAIN_DS_SIZE ACC PREC RCL F1 ROC 
0 3102 0.5425 0.0870 0.0533 0.0661 0.4046 
1 3001 0.4837 0.1053 0.0667 0.0816 0.3846 
2 3067 0.9603 0.8995 1.0000 0.9471 0.9693 
3 2975 0.8495 0.7019 0.9299 0.8000 0.8705 
4 2928 0.3098 0.0655 0.0591 0.0621 0.2635 
5 3030 0.4957 0.0909 0.0577 0.0706 0.3855 
6 2933 0.6032 0.4161 0.7500 0.5352 0.6445 
7 2950 0.9186 0.8009 0.9826 0.8825 0.9362 
8 3080 0.4433 0.1844 0.1361 0.1566 0.3838 
9 2915 0.4251 0.1167 0.0729 0.0897 0.3610 
10 2944 0.3061 0.0535 0.0578 0.0556 0.2497 
11 2965 0.5189 0.1748 0.1029 0.1295 0.4219 
12 3124 0.4163 0.1103 0.0889 0.0985 0.3441 
13 3054 0.9635 0.9167 0.9947 0.9541 0.9695 
14 2955 0.9110 0.7877 0.9882 0.8766 0.9314 
15 3015 0.4868 0.1273 0.0733 0.0930 0.3959 
16 2936 0.5253 0.1111 0.0696 0.0856 0.4042 
17 3009 0.9715 0.9563 0.9669 0.9615 0.9706 
18 3025 0.5311 0.4080 0.9273 0.5667 0.6313 
19 2992 0.4990 0.0571 0.0400 0.0471 0.3722 
