CL_ID TRAIN_DS_SIZE ACC PREC RCL F1 ROC 
0 3068 0.9219 0.8490 0.9532 0.8981 0.9288 
1 3043 0.8721 0.7399 0.9483 0.8312 0.8913 
2 3083 0.9577 0.9219 0.9672 0.9440 0.9597 
3 2860 0.9514 0.9186 0.9405 0.9294 0.9488 
4 2918 0.8821 0.7468 0.9779 0.8469 0.9061 
5 2998 0.8263 0.9118 0.6263 0.7425 0.7929 
6 3067 0.9160 0.8368 0.9408 0.8858 0.9218 
7 3027 0.9516 0.9000 0.9701 0.9337 0.9558 
8 3021 0.8864 0.7740 0.9527 0.8541 0.9017 
9 2970 0.8656 0.7044 0.9470 0.8079 0.8890 
10 3031 0.9427 0.8830 0.9595 0.9197 0.9467 
11 2975 0.9527 0.8889 0.9944 0.9387 0.9616 
12 3003 0.9553 0.9337 0.9389 0.9363 0.9515 
13 2994 0.9082 0.8107 0.9489 0.8743 0.9182 
14 2987 0.9004 0.7810 0.9880 0.8723 0.9212 
15 3039 0.8513 0.7213 0.9724 0.8282 0.8765 
16 3091 0.9193 0.8905 0.9133 0.9018 0.9183 
17 3088 0.9312 0.8829 0.9330 0.9073 0.9316 
18 3069 0.9306 0.8441 0.9632 0.8997 0.9391 
19 2961 0.9316 0.8564 0.9527 0.9020 0.9370 
20 2934 0.9262 0.8611 0.9394 0.8986 0.9292 
21 2951 0.9414 0.9286 0.8938 0.9108 0.9296 
22 2978 0.8994 0.7892 0.9758 0.8726 0.9167 
23 3058 0.9011 0.7935 0.9481 0.8639 0.9129 
24 3062 0.9419 0.8551 1.0000 0.9219 0.9558 
25 2973 0.9371 0.8947 0.9488 0.9210 0.9392 
26 2937 0.5567 0.4361 0.9075 0.5891 0.6376 
27 2936 0.9328 0.8641 0.9674 0.9128 0.9402 
28 3021 0.8848 0.7642 0.9895 0.8624 0.9071 
29 2967 0.9226 0.9223 0.8725 0.8967 0.9133 
30 2994 0.8622 0.7489 0.9497 0.8374 0.8799 
31 2955 0.8921 0.9843 0.7143 0.8278 0.8539 
32 2976 0.8920 0.7816 0.9471 0.8564 0.9053 
33 2954 0.9247 0.8549 0.9322 0.8919 0.9266 
34 3035 0.9320 0.8382 0.9942 0.9096 0.9468 
35 3041 0.8994 0.8194 0.9365 0.8741 0.9069 
36 3014 0.9401 0.8571 0.9740 0.9119 0.9491 
37 3048 0.9273 0.8443 0.9835 0.9086 0.9390 
38 2935 0.9442 0.8878 0.9613 0.9231 0.9482 
39 2938 0.8130 0.6561 0.9177 0.7652 0.8394 
