CL_ID TRAIN_DS_SIZE ACC PREC RCL F1 ROC 
0 2024 0.3608 0.3608 1.0000 0.5302 0.5000 
1 2027 0.3321 0.3321 1.0000 0.4986 0.5000 
2 2053 0.3682 0.3682 1.0000 0.5382 0.5000 
3 1854 0.3401 0.3401 1.0000 0.5076 0.5000 
4 1848 0.3333 0.3333 1.0000 0.5000 0.5000 
5 1948 0.4000 0.4000 1.0000 0.5714 0.5000 
6 1987 0.3463 0.3463 1.0000 0.5145 0.5000 
7 1980 0.3516 0.3516 1.0000 0.5202 0.5000 
8 1973 0.3492 0.3492 1.0000 0.5176 0.5000 
9 1927 0.2984 0.2984 1.0000 0.4597 0.5000 
10 2041 0.3419 0.3419 1.0000 0.5096 0.5000 
11 1951 0.3642 0.3642 1.0000 0.5339 0.5000 
12 1952 0.3502 0.3502 1.0000 0.5187 0.5000 
13 1945 0.3365 0.3365 1.0000 0.5036 0.5000 
14 1908 0.3444 0.3444 1.0000 0.5123 0.5000 
15 1962 0.3686 0.3686 1.0000 0.5387 0.5000 
16 2034 0.4058 0.4058 1.0000 0.5773 0.5000 
17 1993 0.3606 0.3606 1.0000 0.5301 0.5000 
18 2021 0.3234 0.3234 1.0000 0.4888 0.5000 
19 1941 0.3301 0.3301 1.0000 0.4963 0.5000 
20 1884 0.3481 0.3481 1.0000 0.5164 0.5000 
21 1868 0.3347 0.3347 1.0000 0.5016 0.5000 
22 1903 0.3533 0.3533 1.0000 0.5222 0.5000 
23 1965 0.3312 0.3312 1.0000 0.4976 0.5000 
24 1997 0.3430 0.3430 1.0000 0.5108 0.5000 
25 1912 0.3867 0.3867 1.0000 0.5577 0.5000 
26 1887 0.3502 0.3502 1.0000 0.5187 0.5000 
27 1918 0.3636 0.3636 1.0000 0.5333 0.5000 
28 2003 0.3647 0.3647 1.0000 0.5345 0.5000 
29 1935 0.3849 0.3849 1.0000 0.5559 0.5000 
30 1951 0.3737 0.3737 1.0000 0.5441 0.5000 
31 1896 0.3631 0.3631 1.0000 0.5327 0.5000 
32 1938 0.3400 0.3400 1.0000 0.5075 0.5000 
33 1930 0.3333 0.3333 1.0000 0.5000 0.5000 
34 1973 0.3440 0.3440 1.0000 0.5119 0.5000 
35 1942 0.3728 0.3728 1.0000 0.5431 0.5000 
36 1917 0.3182 0.3182 1.0000 0.4828 0.5000 
37 1963 0.3677 0.3677 1.0000 0.5377 0.5000 
38 1906 0.3481 0.3481 1.0000 0.5164 0.5000 
39 1927 0.3319 0.3319 1.0000 0.4984 0.5000 
