CL_ID TRAIN_DS_SIZE ACC PREC RCL F1 ROC 
0 1990 0.3482 0.3155 0.9800 0.4773 0.5263 
1 1939 0.4455 0.3772 0.9389 0.5382 0.5627 
2 2008 0.3925 0.3659 0.9706 0.5314 0.5225 
3 1944 0.4433 0.3577 0.9045 0.5126 0.5635 
4 1930 0.4012 0.3886 0.9570 0.5528 0.5039 
5 1947 0.3447 0.3304 0.9487 0.4901 0.4967 
6 1914 0.3287 0.3074 0.9605 0.4657 0.5062 
7 1942 0.3363 0.3150 0.9651 0.4750 0.5088 
8 1990 0.4235 0.3926 0.9476 0.5552 0.5251 
9 1896 0.4130 0.3944 0.9531 0.5579 0.5113 
10 1896 0.3878 0.3604 0.9480 0.5223 0.5150 
11 1952 0.3738 0.3458 0.8971 0.4992 0.4958 
12 2041 0.3685 0.3582 0.9611 0.5219 0.4992 
13 2002 0.3874 0.3766 0.9255 0.5354 0.4906 
14 1939 0.3390 0.3214 0.9586 0.4814 0.5030 
15 2000 0.3628 0.3566 0.9634 0.5205 0.4949 
16 1908 0.3414 0.3190 0.9367 0.4759 0.4995 
17 1917 0.4919 0.4161 0.9448 0.5777 0.5865 
18 1962 0.3527 0.3312 0.9394 0.4897 0.5011 
19 1922 0.3340 0.3148 0.9800 0.4765 0.5124 
