CL_ID TRAIN_DS_SIZE ACC PREC RCL F1 ROC 
0 3068 0.9684 0.9761 0.9646 0.9703 0.9686 
1 3043 0.8721 0.8147 0.9433 0.8743 0.8760 
2 3083 0.9779 0.9623 0.9961 0.9789 0.9773 
3 2860 0.7773 0.7992 0.7748 0.7868 0.7775 
4 2918 0.4972 0.0000 0.0000 0.0000 0.5000 
5 2998 0.4364 0.1034 0.0117 0.0211 0.4515 
6 3067 0.9652 0.9412 0.9917 0.9658 0.9654 
7 3027 0.8800 0.8375 0.9556 0.8927 0.8765 
8 3021 0.5744 0.6209 0.4520 0.5231 0.5786 
9 2970 0.3953 0.2059 0.0854 0.1207 0.3869 
10 3031 0.5672 1.0000 0.1641 0.2820 0.5821 
11 2975 0.4691 0.0000 0.0000 0.0000 0.4810 
12 3003 0.3658 0.1512 0.0489 0.0739 0.3773 
13 2994 0.3881 0.2188 0.0789 0.1160 0.3936 
14 2987 0.5041 0.7647 0.0524 0.0981 0.5177 
15 3039 0.7699 0.7105 0.9455 0.8114 0.7612 
16 3091 0.9689 0.9565 0.9837 0.9699 0.9687 
17 3088 0.9740 0.9541 0.9963 0.9747 0.9738 
18 3069 0.9722 0.9654 0.9805 0.9729 0.9721 
19 2961 0.3867 0.1809 0.0669 0.0977 0.3842 
20 2934 0.4768 0.4000 0.0081 0.0159 0.4974 
21 2951 0.4017 0.3614 0.2500 0.2956 0.4023 
22 2978 0.6552 0.6079 0.9506 0.7416 0.6427 
23 3058 0.8624 0.8220 0.9274 0.8715 0.8619 
24 3062 0.9031 0.8562 0.9734 0.9110 0.9017 
25 2973 0.3741 0.1852 0.0714 0.1031 0.3763 
26 2937 0.5891 0.5333 0.9391 0.6803 0.6116 
27 2936 0.6324 0.6619 0.5472 0.5991 0.6327 
28 3021 0.7294 0.7480 0.6996 0.7230 0.7297 
29 2967 0.3962 0.3704 0.3502 0.3600 0.3949 
30 2994 0.6054 0.5656 0.9167 0.6995 0.6048 
31 2955 0.6494 0.6221 0.7686 0.6876 0.6489 
32 2976 0.6660 0.5963 0.9331 0.7276 0.6773 
33 2954 0.3879 0.1868 0.0634 0.0947 0.3910 
34 3035 0.4020 0.1818 0.0560 0.0856 0.4020 
35 3041 0.4063 0.1910 0.0691 0.1015 0.3966 
36 3014 0.4752 0.4631 0.3933 0.4253 0.4742 
37 3048 0.9495 0.9122 0.9917 0.9503 0.9506 
38 2935 0.4981 0.5135 0.0725 0.1271 0.5014 
39 2938 0.4790 0.0000 0.0000 0.0000 0.4957 
