CL_NUM ACC PREC RCL F1 ROC 
113 0.6144 0.4082 0.4000 0.4040 0.5592 
114 0.6690 0.0000 0.0000 0.0000 0.5000 
115 0.6250 0.0000 0.0000 0.0000 0.5000 
116 0.6449 0.0000 0.0000 0.0000 0.5000 
117 0.6853 0.0000 0.0000 0.0000 0.5000 
118 0.6500 0.0000 0.0000 0.0000 0.5000 
119 0.6732 1.0000 0.1935 0.3243 0.5968 
120 0.7329 0.0000 0.0000 0.0000 0.5000 
121 0.5943 0.0000 0.0000 0.0000 0.5000 
122 0.6831 0.0000 0.0000 0.0000 0.5000 
123 0.5652 0.0000 0.0000 0.0000 0.5000 
124 0.6792 0.0000 0.0000 0.0000 0.5000 
125 0.6483 0.0000 0.0000 0.0000 0.5000 
126 0.6438 0.0000 0.0000 0.0000 0.5000 
127 0.6687 0.0000 0.0000 0.0000 0.5000 
