CL_ID TRAIN_DS_SIZE ACC PREC RCL F1 ROC 
0 3068 0.9705 0.9243 1.0000 0.9607 0.9769 
1 3043 0.6069 0.0000 0.0000 0.0000 0.4543 
2 3083 0.4930 0.3861 0.6393 0.4815 0.5235 
3 2860 0.4757 0.0826 0.0536 0.0650 0.3734 
4 2918 0.9632 0.9259 0.9669 0.9459 0.9641 
5 2998 0.4848 0.1299 0.0505 0.0727 0.4125 
6 3067 0.5635 0.1207 0.0414 0.0617 0.4408 
7 3027 0.5726 0.1538 0.0479 0.0731 0.4525 
8 3021 0.6488 0.0000 0.0000 0.0000 0.4984 
9 2970 0.5336 0.0430 0.0265 0.0328 0.3879 
10 3031 0.4783 0.1043 0.0694 0.0833 0.3800 
11 2975 0.5700 0.2333 0.0791 0.1181 0.4651 
12 3003 0.5525 0.0968 0.0333 0.0496 0.4328 
13 2994 0.7648 0.7677 0.4318 0.5527 0.6828 
14 2987 0.5145 0.1383 0.0783 0.1000 0.4110 
15 3039 0.5682 0.4584 0.9448 0.6173 0.6466 
16 3091 0.4244 0.1132 0.0612 0.0795 0.3668 
17 3088 0.9405 0.9451 0.8866 0.9149 0.9288 
18 3069 0.4802 0.3759 0.9202 0.5338 0.5950 
19 2961 0.5879 0.0000 0.0000 0.0000 0.4388 
20 2934 0.9684 0.9412 0.9697 0.9552 0.9687 
21 2951 0.9372 0.9452 0.8625 0.9020 0.9187 
22 2978 0.9550 0.8913 0.9939 0.9398 0.9639 
23 3058 0.5634 0.1231 0.0519 0.0731 0.4343 
24 3062 0.9225 0.8246 0.9831 0.8969 0.9370 
25 2973 0.7248 0.5939 0.9116 0.7193 0.7593 
26 2937 0.4271 0.3353 0.6474 0.4418 0.4779 
27 2936 0.5988 0.0000 0.0000 0.0000 0.4705 
28 3021 0.8560 0.7468 0.9158 0.8227 0.8688 
29 2967 0.5887 0.4822 0.9314 0.6355 0.6528 
30 2994 0.6200 0.0000 0.0000 0.0000 0.4950 
31 2955 0.9689 0.9444 0.9714 0.9577 0.9694 
32 2976 0.6740 0.5111 0.9471 0.6639 0.7402 
33 2954 0.4878 0.0940 0.0621 0.0748 0.3814 
34 3035 0.4760 0.0909 0.0581 0.0709 0.3766 
35 3041 0.4596 0.0619 0.0317 0.0420 0.3728 
36 3014 0.8698 0.9789 0.6039 0.7470 0.7989 
37 3048 0.6263 0.0000 0.0000 0.0000 0.4952 
38 2935 0.4846 0.1150 0.0718 0.0884 0.3884 
39 2938 0.4769 0.1240 0.0949 0.1075 0.3808 
