CL_ID TRAIN_DS_SIZE ACC PREC RCL F1 ROC 
0 1990 0.3036 0.3036 1.0000 0.4658 0.5000 
1 1939 0.3442 0.3442 1.0000 0.5121 0.5000 
2 2008 0.3549 0.3549 1.0000 0.5239 0.5000 
3 1944 0.3237 0.3237 1.0000 0.4891 0.5000 
4 1930 0.3867 0.3867 1.0000 0.5577 0.5000 
5 1947 0.3319 0.3319 1.0000 0.4984 0.5000 
6 1914 0.3046 0.3046 1.0000 0.4670 0.5000 
7 1942 0.3110 0.3110 1.0000 0.4745 0.5000 
8 1990 0.3797 0.3797 1.0000 0.5504 0.5000 
9 1896 0.3887 0.3887 1.0000 0.5598 0.5000 
10 1896 0.3531 0.3531 1.0000 0.5219 0.5000 
11 1952 0.3479 0.3479 1.0000 0.5162 0.5000 
12 2041 0.3586 0.3586 1.0000 0.5279 0.5000 
13 2002 0.3813 0.3813 1.0000 0.5521 0.5000 
14 1939 0.3201 0.3201 1.0000 0.4849 0.5000 
15 2000 0.3590 0.3590 1.0000 0.5284 0.5000 
16 1908 0.3192 0.3192 1.0000 0.4839 0.5000 
17 1917 0.3679 0.3679 1.0000 0.5379 0.5000 
18 1962 0.3307 0.3307 1.0000 0.4970 0.5000 
19 1922 0.3093 0.3093 1.0000 0.4724 0.5000 
