CL_ID TRAIN_DS_SIZE ACC PREC RCL F1 ROC 
0 3102 0.9433 0.8910 0.9267 0.9085 0.9386 
1 3001 0.9598 0.9077 0.9833 0.9440 0.9654 
2 3067 0.9415 0.8622 0.9941 0.9235 0.9534 
3 2975 0.9649 0.9118 0.9873 0.9480 0.9708 
4 2928 0.8940 0.9193 0.7957 0.8530 0.8758 
5 3030 0.9383 0.8848 0.9359 0.9097 0.9377 
6 2933 0.9599 0.8837 1.0000 0.9383 0.9712 
7 2950 0.9512 0.8643 1.0000 0.9272 0.9646 
8 3080 0.9722 0.9403 0.9895 0.9643 0.9755 
9 2915 0.9352 0.8738 0.9740 0.9212 0.9423 
10 2944 0.9653 0.9105 1.0000 0.9532 0.9732 
11 2965 0.9304 0.8333 1.0000 0.9091 0.9466 
12 3124 0.9442 0.8689 0.9944 0.9275 0.9553 
13 3054 0.9675 0.9257 0.9947 0.9590 0.9728 
14 2955 0.9432 0.9064 0.9172 0.9118 0.9363 
15 3015 0.9455 0.9010 0.9529 0.9262 0.9471 
16 2936 0.9475 0.8667 0.9873 0.9231 0.9581 
17 3009 0.9593 0.9045 0.9945 0.9474 0.9667 
18 3025 0.9820 0.9588 0.9879 0.9731 0.9835 
19 2992 0.9196 0.7968 0.9933 0.8843 0.9400 
