CL_ID TRAIN_DS_SIZE ACC PREC RCL F1 ROC 
0 3102 0.9555 0.8765 0.9933 0.9313 0.9661 
1 3001 0.5220 0.1277 0.0667 0.0876 0.4138 
2 3067 0.9311 0.8408 0.9941 0.9111 0.9453 
3 2975 0.6454 0.4708 0.7707 0.5845 0.6780 
4 2928 0.4366 0.0874 0.0484 0.0623 0.3649 
5 3030 0.9149 0.7990 0.9936 0.8857 0.9347 
6 2933 0.5010 0.0631 0.0461 0.0532 0.3732 
7 2950 0.4593 0.0850 0.0756 0.0800 0.3541 
8 3080 0.9722 0.9403 0.9895 0.9643 0.9755 
9 2915 0.5385 0.4541 0.9271 0.6096 0.6092 
10 2944 0.5510 0.4209 0.7225 0.5319 0.5900 
11 2965 0.5189 0.1748 0.1029 0.1295 0.4219 
12 3124 0.9582 0.9036 0.9889 0.9443 0.9649 
13 3054 0.9594 0.9078 0.9947 0.9492 0.9662 
14 2955 0.4527 0.3643 0.9527 0.5270 0.5850 
15 3015 0.4868 0.1273 0.0733 0.0930 0.3959 
16 2936 0.6364 0.1333 0.0253 0.0426 0.4741 
17 3009 0.5081 0.2039 0.1160 0.1479 0.4262 
18 3025 0.5431 0.4146 0.9273 0.5730 0.6403 
19 2992 0.4887 0.0776 0.0600 0.0677 0.3703 
