CL_NUM ACC PREC RCL F1 ROC 
0 0.6897 0.0000 0.0000 0.0000 0.5000 
1 0.7756 0.6757 0.5208 0.5882 0.7049 
2 0.7514 0.8000 0.2909 0.4267 0.6285 
3 0.7750 0.5949 0.9216 0.7231 0.8140 
4 0.6623 1.0000 0.0545 0.1034 0.5273 
5 0.7179 0.0000 0.0000 0.0000 0.5000 
6 0.6392 0.5221 0.9516 0.6743 0.6946 
7 0.7853 0.7391 0.5965 0.6602 0.7416 
8 0.6765 0.5116 0.9565 0.6667 0.7449 
9 0.8313 0.7500 0.7895 0.7692 0.8219 
10 0.5000 0.3644 0.9348 0.5244 0.6265 
11 0.6483 1.0000 0.1053 0.1905 0.5526 
12 0.7963 0.6265 0.9630 0.7591 0.8380 
13 0.8343 0.7273 0.8276 0.7742 0.8327 
14 0.7711 0.8889 0.4068 0.5581 0.6894 
15 0.7698 0.6027 0.9362 0.7333 0.8105 
16 0.7531 0.7500 0.3000 0.4286 0.6277 
17 0.6483 1.0000 0.0727 0.1356 0.5364 
18 0.8976 0.8868 0.8103 0.8468 0.8774 
19 0.7485 0.0000 0.0000 0.0000 0.5000 
20 0.6928 0.7308 0.3016 0.4270 0.6168 
21 0.9137 0.7872 0.9487 0.8605 0.9244 
22 0.8784 0.8571 0.8276 0.8421 0.8693 
23 0.6497 0.0000 0.0000 0.0000 0.5000 
24 0.8696 0.7500 0.9375 0.8333 0.8854 
25 0.6203 0.4857 0.5862 0.5312 0.6131 
26 0.7762 0.8409 0.5968 0.6981 0.7552 
27 0.6903 0.0000 0.0000 0.0000 0.5000 
28 0.7718 0.8800 0.4151 0.5641 0.6919 
29 0.7602 0.6304 0.8923 0.7389 0.7858 
30 0.8765 0.7500 0.9643 0.8437 0.8972 
31 0.9048 0.8269 0.8958 0.8600 0.9025 
32 0.7050 1.0000 0.1961 0.3279 0.5980 
33 0.7843 0.6329 0.9259 0.7519 0.8165 
34 0.7056 0.5455 0.9524 0.6936 0.7625 
35 0.8642 0.7460 0.8868 0.8103 0.8700 
36 0.6750 0.5319 0.8621 0.6579 0.7153 
37 0.7616 0.6667 0.2000 0.3077 0.5820 
38 0.7483 0.7917 0.3654 0.5000 0.6574 
39 0.6552 0.4737 1.0000 0.6429 0.7500 
40 0.6770 0.0000 0.0000 0.0000 0.5000 
41 0.5886 0.4309 0.9636 0.5955 0.6902 
42 0.4845 0.3571 0.9574 0.5202 0.6235 
43 0.6154 0.4022 0.8810 0.5522 0.6992 
44 0.6042 0.4176 0.9048 0.5714 0.6926 
45 0.8456 0.7260 0.9464 0.8217 0.8657 
46 0.6098 0.5000 0.9531 0.6559 0.6716 
47 0.5686 0.4037 0.9778 0.5714 0.6880 
48 0.8688 0.8824 0.7500 0.8108 0.8450 
49 0.8649 0.7606 0.9474 0.8437 0.8803 
50 0.7368 1.0000 0.2623 0.4156 0.6311 
51 0.7205 0.5172 0.9375 0.6667 0.7829 
