CL_NUM ACC PREC RCL F1 ROC 
52 0.8701 0.7297 1.0000 0.8437 0.9000 
53 0.6242 0.4906 0.9630 0.6500 0.6973 
54 0.6414 0.4505 0.9535 0.6119 0.7316 
55 0.9077 0.8611 0.8857 0.8732 0.9029 
56 0.7466 0.6047 0.9455 0.7376 0.7859 
57 0.8160 0.6548 0.9821 0.7857 0.8556 
58 0.5294 0.4426 0.9310 0.6000 0.6076 
59 0.7126 1.0000 0.2500 0.4000 0.6250 
60 0.9162 0.9038 0.8393 0.8704 0.8971 
61 0.6792 0.4713 0.8913 0.6165 0.7421 
62 0.6034 0.4724 0.9375 0.6283 0.6774 
63 0.5189 0.4167 0.9231 0.5742 0.6115 
64 0.8129 0.7500 0.6875 0.7174 0.7833 
65 0.5580 0.4059 0.9762 0.5734 0.6756 
66 0.6242 0.6250 0.1587 0.2532 0.5475 
67 0.7337 0.0000 0.0000 0.0000 0.5000 
68 0.8865 0.8548 0.8833 0.8689 0.8861 
69 0.6306 0.0000 0.0000 0.0000 0.5000 
70 0.6149 1.0000 0.0339 0.0656 0.5169 
71 0.9020 0.7931 0.9388 0.8598 0.9117 
72 0.6078 0.4486 0.9796 0.6154 0.7061 
73 0.6260 0.0000 0.0000 0.0000 0.5000 
74 0.8387 0.7031 0.8824 0.7826 0.8498 
75 0.7515 0.6047 0.8814 0.7172 0.7803 
76 0.8582 0.8095 0.7391 0.7727 0.8275 
77 0.7847 0.6232 0.8958 0.7350 0.8125 
78 0.7697 0.6173 0.8772 0.7246 0.7951 
79 0.7785 0.0000 0.0000 0.0000 0.5000 
80 0.6347 0.4771 0.9286 0.6303 0.7075 
81 0.6600 0.4268 0.8974 0.5785 0.7370 
82 0.7453 0.5652 0.9811 0.7172 0.8054 
83 0.8580 0.7654 0.9254 0.8378 0.8695 
84 0.7389 0.6744 0.5179 0.5859 0.6896 
85 0.7469 0.6000 0.9500 0.7355 0.7887 
86 0.7484 0.8824 0.2830 0.4286 0.6321 
87 0.9194 0.8571 0.9600 0.9057 0.9259 
88 0.8170 0.6667 0.9231 0.7742 0.8427 
89 0.5473 0.4057 0.9149 0.5621 0.6456 
90 0.7658 0.7097 0.4400 0.5432 0.6783 
91 0.9200 0.8421 0.9412 0.8889 0.9251 
92 0.7125 0.6000 0.2941 0.3947 0.6012 
93 0.7697 0.6545 0.6923 0.6729 0.7512 
94 0.7301 1.0000 0.1698 0.2903 0.5849 
95 0.5352 0.3810 0.9756 0.5479 0.6660 
96 0.5813 0.0000 0.0000 0.0000 0.5000 
97 0.6689 0.5319 0.9091 0.6711 0.7180 
98 0.5106 0.3761 0.9762 0.5430 0.6447 
99 0.5510 0.4513 0.9273 0.6071 0.6267 
100 0.6688 1.0000 0.0192 0.0377 0.5096 
101 0.7546 0.9655 0.4179 0.5833 0.7037 
102 0.8153 0.9565 0.4400 0.6027 0.7153 
103 0.5896 0.4286 0.9286 0.5865 0.6817 
104 0.8219 0.7660 0.7059 0.7347 0.7950 
105 0.5256 0.4355 0.9310 0.5934 0.6084 
106 0.6645 0.0000 0.0000 0.0000 0.5000 
107 0.6588 0.5100 0.8500 0.6375 0.7023 
108 0.5461 0.4322 0.9623 0.5965 0.6427 
109 0.8618 0.9643 0.5745 0.7200 0.7825 
110 0.7215 0.0000 0.0000 0.0000 0.5000 
111 0.8162 0.7746 0.7534 0.7639 0.8053 
112 0.6316 0.3846 0.0943 0.1515 0.5068 
113 0.6159 0.0000 0.0000 0.0000 0.5000 
114 0.6798 0.5000 0.0175 0.0339 0.5046 
115 0.7375 0.5806 0.9474 0.7200 0.7844 
116 0.4834 0.3719 0.9574 0.5357 0.6133 
117 0.6040 1.0000 0.0167 0.0328 0.5083 
118 0.7167 0.9167 0.1803 0.3014 0.5860 
119 0.7799 0.7857 0.5593 0.6535 0.7347 
120 0.6509 0.0000 0.0000 0.0000 0.5000 
121 0.6982 0.5780 0.9265 0.7119 0.7355 
122 0.6524 1.0000 0.1231 0.2192 0.5615 
123 0.8613 0.7500 0.9184 0.8257 0.8740 
124 0.9365 0.8594 0.9483 0.9016 0.9398 
125 0.7692 0.8500 0.5312 0.6538 0.7330 
126 0.6943 1.0000 0.2131 0.3514 0.6066 
127 0.7628 0.5942 0.8200 0.6891 0.7779 
