CL_ID TRAIN_DS_SIZE ACC PREC RCL F1 ROC 
0 3068 0.9409 0.8705 0.9825 0.9231 0.9500 
1 3043 0.9198 0.8143 0.9828 0.8906 0.9357 
2 3083 0.9678 0.9326 0.9836 0.9574 0.9711 
3 2860 0.4777 0.0833 0.0536 0.0652 0.3749 
4 2918 0.6077 0.4560 0.9171 0.6092 0.6851 
5 2998 0.4303 0.0962 0.0505 0.0662 0.3670 
6 3067 0.9201 0.8125 1.0000 0.8966 0.9389 
7 3027 0.8421 0.7371 0.8563 0.7922 0.8454 
8 3021 0.5455 0.4316 0.9527 0.5941 0.6398 
9 2970 0.6206 0.0816 0.0265 0.0400 0.4499 
10 3031 0.6719 0.7692 0.0578 0.1075 0.5244 
11 2975 0.5062 0.1538 0.0791 0.1045 0.4150 
12 3003 0.6012 0.3984 0.2722 0.3234 0.5253 
13 2994 0.6539 0.4837 0.4205 0.4498 0.5964 
14 2987 0.3485 0.0889 0.0964 0.0925 0.2887 
15 3039 0.6354 0.5029 0.9448 0.6564 0.6998 
16 3091 0.9400 0.8884 0.9745 0.9294 0.9454 
17 3088 0.9480 0.9323 0.9227 0.9275 0.9424 
18 3069 0.9643 0.9050 0.9939 0.9474 0.9720 
19 2961 0.5137 0.2500 0.2367 0.2432 0.4434 
20 2934 0.6667 0.5116 0.9394 0.6624 0.7302 
21 2951 0.5000 0.1165 0.0750 0.0913 0.3944 
22 2978 0.6381 0.3333 0.0242 0.0452 0.4989 
23 3058 0.8860 0.7644 0.9481 0.8464 0.9017 
24 3062 0.9128 0.8113 0.9718 0.8843 0.9269 
25 2973 0.4514 0.1484 0.0884 0.1108 0.3844 
26 2937 0.4980 0.4036 0.9075 0.5587 0.5924 
27 2936 0.6126 0.2692 0.0380 0.0667 0.4895 
28 3021 0.6392 0.5385 0.0737 0.1296 0.5187 
29 2967 0.4604 0.1273 0.0686 0.0892 0.3871 
30 2994 0.5658 0.0000 0.0000 0.0000 0.4517 
31 2955 0.5000 0.0976 0.0457 0.0623 0.4023 
32 2976 0.5060 0.3890 0.7941 0.5222 0.5758 
33 2954 0.4878 0.0940 0.0621 0.0748 0.3814 
34 3035 0.5720 0.1613 0.0581 0.0855 0.4498 
35 3041 0.7258 0.8788 0.3069 0.4549 0.6409 
36 3014 0.5207 0.1176 0.0779 0.0937 0.4026 
37 3048 0.9434 0.8812 0.9780 0.9271 0.9507 
38 2935 0.5308 0.3612 0.4530 0.4020 0.5127 
39 2938 0.4853 0.1282 0.0949 0.1091 0.3871 
