CL_ID TRAIN_DS_SIZE ACC PREC RCL F1 ROC 
0 1511 0.5359 0.5359 1.0000 0.6978 0.5000 
1 1557 0.4714 0.4714 1.0000 0.6407 0.5000 
2 1573 0.5151 0.5151 1.0000 0.6799 0.5000 
3 1423 0.5304 0.5304 1.0000 0.6931 0.5000 
4 1463 0.5028 0.5028 1.0000 0.6691 0.5000 
5 1478 0.5172 0.5172 1.0000 0.6818 0.5000 
6 1506 0.4959 0.4959 1.0000 0.6630 0.5000 
7 1513 0.5221 0.5221 1.0000 0.6860 0.5000 
8 1472 0.5165 0.5165 1.0000 0.6812 0.5000 
9 1533 0.4862 0.4862 1.0000 0.6543 0.5000 
10 1502 0.5178 0.5178 1.0000 0.6823 0.5000 
11 1488 0.5123 0.5123 1.0000 0.6776 0.5000 
12 1539 0.5175 0.5175 1.0000 0.6821 0.5000 
13 1507 0.5086 0.5086 1.0000 0.6743 0.5000 
14 1495 0.5145 0.5145 1.0000 0.6795 0.5000 
15 1580 0.5234 0.5234 1.0000 0.6872 0.5000 
16 1519 0.5093 0.5093 1.0000 0.6749 0.5000 
17 1530 0.5037 0.5037 1.0000 0.6700 0.5000 
18 1515 0.5079 0.5079 1.0000 0.6737 0.5000 
19 1431 0.4961 0.4961 1.0000 0.6632 0.5000 
20 1486 0.5211 0.5211 1.0000 0.6852 0.5000 
21 1492 0.5021 0.5021 1.0000 0.6685 0.5000 
22 1468 0.5203 0.5203 1.0000 0.6845 0.5000 
23 1499 0.5032 0.5032 1.0000 0.6695 0.5000 
24 1543 0.5097 0.5097 1.0000 0.6752 0.5000 
25 1493 0.5036 0.5036 1.0000 0.6699 0.5000 
26 1442 0.4656 0.4656 1.0000 0.6354 0.5000 
27 1446 0.5020 0.5020 1.0000 0.6684 0.5000 
28 1514 0.5048 0.5048 1.0000 0.6709 0.5000 
29 1461 0.4849 0.4849 1.0000 0.6531 0.5000 
30 1488 0.5010 0.5010 1.0000 0.6676 0.5000 
31 1411 0.5021 0.5021 1.0000 0.6685 0.5000 
32 1482 0.4780 0.4780 1.0000 0.6468 0.5000 
33 1466 0.5047 0.5047 1.0000 0.6708 0.5000 
34 1511 0.5000 0.5000 1.0000 0.6667 0.5000 
35 1504 0.4852 0.4852 1.0000 0.6534 0.5000 
36 1533 0.4938 0.4938 1.0000 0.6611 0.5000 
37 1534 0.4869 0.4869 1.0000 0.6549 0.5000 
38 1451 0.5038 0.5038 1.0000 0.6701 0.5000 
39 1476 0.5168 0.5168 1.0000 0.6814 0.5000 
