CL_ID TRAIN_DS_SIZE ACC PREC RCL F1 ROC 
0 3068 0.9177 0.8438 0.9474 0.8926 0.9242 
1 3043 0.8836 0.7604 0.9483 0.8440 0.8999 
2 3083 0.9477 0.8905 0.9781 0.9323 0.9540 
3 2860 0.5061 0.0957 0.0536 0.0687 0.3964 
4 2918 0.6796 0.8182 0.0497 0.0938 0.5221 
5 2998 0.8444 0.9919 0.6162 0.7601 0.8064 
6 3067 0.9344 0.8960 0.9172 0.9064 0.9304 
7 3027 0.9558 0.9148 0.9641 0.9388 0.9577 
8 3021 0.8802 0.7630 0.9527 0.8474 0.8970 
9 2970 0.8755 0.7222 0.9470 0.8195 0.8960 
10 3031 0.9466 0.9011 0.9480 0.9239 0.9470 
11 2975 0.9465 0.9037 0.9548 0.9286 0.9483 
12 3003 0.9572 0.9438 0.9333 0.9385 0.9517 
13 2994 0.9178 0.9080 0.8409 0.8732 0.8988 
14 2987 0.9357 0.8462 0.9940 0.9141 0.9495 
15 3039 0.9593 0.9128 0.9834 0.9468 0.9643 
16 3091 0.9089 0.9270 0.8418 0.8824 0.8983 
17 3088 0.9405 0.9309 0.9021 0.9162 0.9321 
18 3069 0.9444 0.8814 0.9571 0.9176 0.9477 
19 2961 0.8789 0.7488 0.9527 0.8385 0.8976 
20 2934 0.6435 0.4928 0.8303 0.6185 0.6870 
21 2951 0.6841 1.0000 0.0563 0.1065 0.5281 
22 2978 0.9208 0.8516 0.9394 0.8934 0.9250 
23 3058 0.8516 0.7053 0.9481 0.8089 0.8760 
24 3062 0.9554 0.8969 0.9831 0.9380 0.9620 
25 2973 0.9406 0.9292 0.9163 0.9227 0.9361 
26 2937 0.4980 0.4036 0.9075 0.5587 0.5924 
27 2936 0.5692 0.2069 0.0652 0.0992 0.4612 
28 3021 0.9232 0.8505 0.9579 0.9010 0.9306 
29 2967 0.8792 0.9217 0.7500 0.8270 0.8551 
30 2994 0.8580 0.7467 0.9385 0.8317 0.8743 
31 2955 0.6743 0.9500 0.1086 0.1949 0.5527 
32 2976 0.9360 0.8750 0.9471 0.9096 0.9387 
33 2954 0.5028 0.1009 0.0621 0.0769 0.3927 
34 3035 0.9360 0.9118 0.9012 0.9064 0.9277 
35 3041 0.9329 0.8539 0.9894 0.9167 0.9444 
36 3014 0.9525 0.9119 0.9416 0.9265 0.9496 
37 3048 0.9333 0.8565 0.9835 0.9156 0.9438 
38 2935 0.6308 0.0000 0.0000 0.0000 0.4838 
39 2938 0.5966 0.3819 0.3481 0.3642 0.5341 
